timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:36:47.403, 44, 1.89 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:36:47.909, 44, 1.89 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:36:48.425, 44, 1.89 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:36:48.939, 44, 2.12 W, 35 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:36:49.440, 46, 19.69 W, 4 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:49.947, 46, 21.54 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:50.458, 47, 19.70 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:50.959, 47, 19.00 W, 9 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000024
2026/05/01 20:36:51.474, 47, 19.55 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:51.974, 47, 19.72 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:52.476, 47, 19.50 W, 2 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:52.992, 47, 19.57 W, 2 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:53.494, 47, 20.93 W, 3 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:54.010, 47, 19.52 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:54.525, 48, 19.45 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:55.026, 47, 9.50 W, 2 %, 495 MHz, 810 MHz, 495 MHz, 0x0000000000000001
2026/05/01 20:36:55.533, 46, 8.06 W, 0 %, 390 MHz, 810 MHz, 390 MHz, 0x0000000000000001
2026/05/01 20:36:56.044, 47, 5.17 W, 1 %, 315 MHz, 405 MHz, 315 MHz, 0x0000000000000001
2026/05/01 20:36:56.555, 48, 21.07 W, 7 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:57.070, 48, 18.35 W, 2 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:57.584, 48, 18.35 W, 2 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:36:58.099, 59, 68.12 W, 81 %, 2505 MHz, 8001 MHz, 2505 MHz, 0x0000000000000000
2026/05/01 20:36:58.600, 60, 73.72 W, 66 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:36:59.110, 61, 76.69 W, 89 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:36:59.611, 61, 74.51 W, 87 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:37:00.125, 62, 76.54 W, 82 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:37:00.640, 62, 79.16 W, 89 %, 2340 MHz, 8001 MHz, 2340 MHz, 0x0000000000000004
2026/05/01 20:37:01.145, 63, 77.86 W, 90 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
2026/05/01 20:37:01.654, 63, 78.65 W, 94 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:37:02.164, 63, 78.03 W, 92 %, 2340 MHz, 8001 MHz, 2340 MHz, 0x0000000000000004
2026/05/01 20:37:02.674, 63, 76.26 W, 93 %, 2295 MHz, 8001 MHz, 2295 MHz, 0x0000000000000004
2026/05/01 20:37:03.183, 64, 75.68 W, 92 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:37:03.684, 64, 75.35 W, 95 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:37:04.196, 65, 75.17 W, 90 %, 2280 MHz, 8001 MHz, 2280 MHz, 0x0000000000000004
2026/05/01 20:37:04.712, 65, 78.29 W, 85 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:37:05.227, 65, 76.11 W, 96 %, 2340 MHz, 8001 MHz, 2340 MHz, 0x0000000000000004
2026/05/01 20:37:05.740, 65, 76.40 W, 96 %, 2295 MHz, 8001 MHz, 2295 MHz, 0x0000000000000004
2026/05/01 20:37:06.254, 66, 79.76 W, 98 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:37:06.756, 67, 80.68 W, 98 %, 2325 MHz, 8001 MHz, 2325 MHz, 0x0000000000000004
2026/05/01 20:37:07.271, 67, 82.38 W, 97 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:37:07.785, 68, 83.63 W, 98 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:37:08.300, 68, 86.17 W, 98 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:37:08.812, 68, 86.50 W, 99 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:09.314, 69, 87.65 W, 96 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:09.824, 68, 80.55 W, 82 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:10.334, 69, 83.64 W, 85 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:37:10.834, 70, 85.33 W, 85 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:37:11.344, 69, 83.37 W, 86 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:37:11.851, 70, 80.33 W, 86 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:37:12.366, 69, 81.73 W, 85 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:37:12.867, 70, 80.38 W, 87 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:37:13.381, 69, 77.42 W, 91 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:37:13.896, 70, 79.29 W, 92 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:14.398, 70, 78.29 W, 94 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:14.903, 70, 78.82 W, 92 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:37:15.417, 70, 78.14 W, 96 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:37:15.932, 70, 78.13 W, 94 %, 2295 MHz, 8001 MHz, 2295 MHz, 0x0000000000000004
2026/05/01 20:37:16.433, 71, 79.21 W, 94 %, 2355 MHz, 8001 MHz, 2355 MHz, 0x0000000000000004
2026/05/01 20:37:16.935, 71, 81.15 W, 88 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
