timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 15:12:24.145, 43, N/A, 19.13 W, 0 %, 1 %, 560 MiB, 0x0000000000000001
2026/05/02 15:12:24.660, 43, N/A, 17.56 W, 3 %, 1 %, 609 MiB, 0x0000000000000024
2026/05/02 15:12:25.175, 44, N/A, 18.82 W, 0 %, 0 %, 608 MiB, 0x0000000000000001
2026/05/02 15:12:25.678, 44, N/A, 18.64 W, 0 %, 0 %, 608 MiB, 0x0000000000000001
2026/05/02 15:12:26.188, 44, N/A, 18.57 W, 0 %, 0 %, 608 MiB, 0x0000000000000001
2026/05/02 15:12:26.695, 44, N/A, 18.47 W, 0 %, 0 %, 608 MiB, 0x0000000000000001
2026/05/02 15:12:27.202, 44, N/A, 18.50 W, 0 %, 0 %, 608 MiB, 0x0000000000000001
2026/05/02 15:12:27.708, 43, N/A, 17.16 W, 1 %, 2 %, 616 MiB, 0x0000000000000001
2026/05/02 15:12:28.209, 44, N/A, 18.41 W, 1 %, 0 %, 617 MiB, 0x0000000000000001
2026/05/02 15:12:28.722, 44, N/A, 19.05 W, 0 %, 0 %, 677 MiB, 0x0000000000000001
2026/05/02 15:12:29.227, 44, N/A, 18.40 W, 0 %, 0 %, 742 MiB, 0x0000000000000001
2026/05/02 15:12:29.727, 44, N/A, 18.40 W, 0 %, 0 %, 807 MiB, 0x0000000000000001
2026/05/02 15:12:30.231, 45, N/A, 18.50 W, 4 %, 1 %, 882 MiB, 0x0000000000000001
2026/05/02 15:12:30.734, 44, N/A, 9.26 W, 0 %, 6 %, 882 MiB, 0x0000000000000001
2026/05/02 15:12:31.237, 43, N/A, 9.09 W, 0 %, 6 %, 882 MiB, 0x0000000000000001
2026/05/02 15:12:31.738, 43, N/A, 7.47 W, 0 %, 11 %, 776 MiB, 0x0000000000000001
2026/05/02 15:12:32.248, 43, N/A, 6.18 W, 0 %, 12 %, 853 MiB, 0x0000000000000001
2026/05/02 15:12:32.754, 43, N/A, 5.60 W, 0 %, 5 %, 904 MiB, 0x0000000000000001
2026/05/02 15:12:33.256, 43, N/A, 5.47 W, 0 %, 5 %, 1147 MiB, 0x0000000000000001
2026/05/02 15:12:33.764, 44, N/A, 17.35 W, 3 %, 2 %, 1349 MiB, 0x0000000000000001
2026/05/02 15:12:34.268, 45, N/A, 18.66 W, 0 %, 0 %, 1408 MiB, 0x0000000000000001
2026/05/02 15:12:34.778, 45, N/A, 18.86 W, 4 %, 1 %, 1563 MiB, 0x0000000000000001
2026/05/02 15:12:35.288, 45, N/A, 20.22 W, 4 %, 1 %, 1717 MiB, 0x0000000000000001
