timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:28:31.820, 50, N/A, 18.77 W, 0 %, 0 %, 476 MiB, 0x0000000000000001
2026/05/02 14:28:32.326, 50, N/A, 19.83 W, 8 %, 1 %, 493 MiB, 0x0000000000000001
2026/05/02 14:28:32.827, 50, N/A, 19.89 W, 3 %, 1 %, 541 MiB, 0x0000000000000001
2026/05/02 14:28:33.341, 50, N/A, 19.23 W, 2 %, 0 %, 542 MiB, 0x0000000000000001
2026/05/02 14:28:33.842, 50, N/A, 21.95 W, 2 %, 0 %, 542 MiB, 0x0000000000000001
2026/05/02 14:28:34.353, 50, N/A, 19.37 W, 1 %, 0 %, 595 MiB, 0x0000000000000001
2026/05/02 14:28:34.868, 50, N/A, 19.38 W, 2 %, 0 %, 614 MiB, 0x0000000000000001
2026/05/02 14:28:35.381, 51, N/A, 19.31 W, 2 %, 1 %, 627 MiB, 0x0000000000000001
2026/05/02 14:28:35.888, 51, N/A, 19.45 W, 1 %, 1 %, 639 MiB, 0x0000000000000001
2026/05/02 14:28:36.392, 51, N/A, 19.48 W, 1 %, 1 %, 655 MiB, 0x0000000000000001
2026/05/02 14:28:36.898, 50, N/A, 9.39 W, 3 %, 7 %, 665 MiB, 0x0000000000000001
2026/05/02 14:28:37.408, 50, N/A, 9.32 W, 2 %, 7 %, 677 MiB, 0x0000000000000001
2026/05/02 14:28:37.911, 50, N/A, 5.05 W, 4 %, 21 %, 686 MiB, 0x0000000000000001
2026/05/02 14:28:38.418, 50, N/A, 5.14 W, 7 %, 26 %, 695 MiB, 0x0000000000000001
2026/05/02 14:28:38.921, 50, N/A, 7.64 W, 10 %, 12 %, 717 MiB, 0x0000000000000001
2026/05/02 14:28:39.432, 50, N/A, 5.98 W, 2 %, 1 %, 850 MiB, 0x0000000000000001
2026/05/02 14:28:39.948, 50, N/A, 8.03 W, 60 %, 24 %, 904 MiB, 0x0000000000000001
