timestamp, temperature.gpu, temperature.memory, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks_event_reasons.active
2026/05/02 14:58:46.861, 45, N/A, 19.89 W, 9 %, 0 %, 546 MiB, 0x0000000000000001
2026/05/02 14:58:47.363, 46, N/A, 18.48 W, 0 %, 0 %, 537 MiB, 0x0000000000000001
2026/05/02 14:58:47.867, 46, N/A, 18.99 W, 0 %, 1 %, 561 MiB, 0x0000000000000001
2026/05/02 14:58:48.376, 46, N/A, 18.61 W, 0 %, 1 %, 610 MiB, 0x0000000000000001
2026/05/02 14:58:48.886, 46, N/A, 18.69 W, 0 %, 0 %, 610 MiB, 0x0000000000000001
2026/05/02 14:58:49.392, 46, N/A, 18.69 W, 0 %, 0 %, 610 MiB, 0x0000000000000001
2026/05/02 14:58:49.894, 46, N/A, 18.88 W, 0 %, 0 %, 610 MiB, 0x0000000000000001
2026/05/02 14:58:50.398, 46, N/A, 18.70 W, 0 %, 0 %, 610 MiB, 0x0000000000000001
2026/05/02 14:58:50.903, 46, N/A, 17.52 W, 0 %, 0 %, 617 MiB, 0x0000000000000001
2026/05/02 14:58:51.411, 47, N/A, 19.01 W, 3 %, 1 %, 635 MiB, 0x0000000000000001
2026/05/02 14:58:51.912, 47, N/A, 19.34 W, 1 %, 1 %, 707 MiB, 0x0000000000000001
2026/05/02 14:58:52.414, 47, N/A, 19.95 W, 0 %, 0 %, 773 MiB, 0x0000000000000001
2026/05/02 14:58:52.924, 47, N/A, 18.36 W, 0 %, 0 %, 773 MiB, 0x0000000000000001
2026/05/02 14:58:53.438, 47, N/A, 18.94 W, 0 %, 0 %, 870 MiB, 0x0000000000000001
2026/05/02 14:58:53.938, 47, N/A, 9.15 W, 0 %, 3 %, 870 MiB, 0x0000000000000001
2026/05/02 14:58:54.441, 46, N/A, 8.97 W, 0 %, 3 %, 870 MiB, 0x0000000000000001
2026/05/02 14:58:54.949, 46, N/A, 9.11 W, 0 %, 6 %, 870 MiB, 0x0000000000000001
2026/05/02 14:58:55.457, 46, N/A, 8.88 W, 19 %, 19 %, 886 MiB, 0x0000000000000001
2026/05/02 14:58:55.965, 46, N/A, 5.55 W, 13 %, 9 %, 928 MiB, 0x0000000000000001
2026/05/02 14:58:56.467, 46, N/A, 6.12 W, 75 %, 55 %, 1317 MiB, 0x0000000000000001
2026/05/02 14:58:56.967, 46, N/A, 5.51 W, 0 %, 5 %, 1318 MiB, 0x0000000000000001
2026/05/02 14:58:57.475, 46, N/A, 5.71 W, 14 %, 10 %, 1375 MiB, 0x0000000000000001
2026/05/02 14:58:57.976, 46, N/A, 5.67 W, 8 %, 8 %, 1438 MiB, 0x0000000000000001
2026/05/02 14:58:58.485, 46, N/A, 5.69 W, 11 %, 8 %, 1491 MiB, 0x0000000000000001
2026/05/02 14:58:58.985, 46, N/A, 5.59 W, 11 %, 9 %, 1549 MiB, 0x0000000000000001
2026/05/02 14:58:59.495, 46, N/A, 5.61 W, 11 %, 9 %, 1605 MiB, 0x0000000000000001
2026/05/02 14:59:00.005, 46, N/A, 5.58 W, 7 %, 8 %, 1670 MiB, 0x0000000000000001
2026/05/02 14:59:00.515, 46, N/A, 5.52 W, 10 %, 9 %, 1738 MiB, 0x0000000000000001
2026/05/02 14:59:01.015, 46, N/A, 5.67 W, 11 %, 9 %, 1801 MiB, 0x0000000000000001
2026/05/02 14:59:01.525, 46, N/A, 5.81 W, 47 %, 28 %, 1978 MiB, 0x0000000000000001
2026/05/02 14:59:02.035, 47, N/A, 10.27 W, 55 %, 33 %, 2062 MiB, 0x0000000000000001
2026/05/02 14:59:02.538, 48, N/A, 18.17 W, 1 %, 0 %, 2081 MiB, 0x0000000000000001
2026/05/02 14:59:03.046, 49, N/A, 27.61 W, 22 %, 8 %, 2081 MiB, 0x0000000000000001
2026/05/02 14:59:03.555, 49, N/A, 31.27 W, 26 %, 10 %, 2081 MiB, 0x0000000000000001
2026/05/02 14:59:04.056, 51, N/A, 32.93 W, 33 %, 13 %, 2081 MiB, 0x0000000000000001
2026/05/02 14:59:04.566, 52, N/A, 32.26 W, 24 %, 9 %, 2081 MiB, 0x0000000000000001
2026/05/02 14:59:05.076, 51, N/A, 31.87 W, 38 %, 12 %, 2081 MiB, 0x0000000000000001
2026/05/02 14:59:05.585, 49, N/A, 15.38 W, 0 %, 0 %, 2081 MiB, 0x0000000000000001
2026/05/02 14:59:06.096, 49, N/A, 17.40 W, 74 %, 12 %, 1981 MiB, 0x0000000000000001
2026/05/02 14:59:06.606, 55, N/A, 56.80 W, 34 %, 10 %, 2011 MiB, 0x0000000000000000
2026/05/02 14:59:07.116, 62, N/A, 81.18 W, 94 %, 30 %, 1947 MiB, 0x0000000000000000
2026/05/02 14:59:07.626, 63, N/A, 83.88 W, 95 %, 31 %, 1947 MiB, 0x0000000000000000
2026/05/02 14:59:08.136, 64, N/A, 83.39 W, 96 %, 31 %, 1948 MiB, 0x0000000000000000
2026/05/02 14:59:08.646, 64, N/A, 85.32 W, 96 %, 32 %, 1948 MiB, 0x0000000000000000
2026/05/02 14:59:09.153, 64, N/A, 85.43 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:09.656, 65, N/A, 86.14 W, 96 %, 33 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:10.156, 65, N/A, 85.42 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:10.656, 65, N/A, 85.85 W, 96 %, 31 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:11.166, 66, N/A, 85.65 W, 95 %, 31 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:11.676, 66, N/A, 83.96 W, 95 %, 31 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:12.186, 66, N/A, 86.56 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:12.696, 67, N/A, 86.17 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:13.206, 67, N/A, 86.16 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:13.716, 67, N/A, 82.38 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:14.226, 68, N/A, 86.89 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:14.736, 68, N/A, 86.50 W, 96 %, 31 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:15.236, 68, N/A, 85.35 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:15.746, 68, N/A, 87.20 W, 96 %, 32 %, 1950 MiB, 0x0000000000000000
2026/05/02 14:59:16.256, 68, N/A, 89.42 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:16.757, 69, N/A, 88.53 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:17.266, 69, N/A, 88.54 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:17.776, 69, N/A, 88.62 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:18.286, 69, N/A, 91.25 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:18.797, 70, N/A, 88.95 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:19.307, 70, N/A, 88.62 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:19.807, 70, N/A, 88.76 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:20.308, 70, N/A, 88.91 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:20.817, 70, N/A, 89.15 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:21.327, 71, N/A, 89.18 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:21.837, 71, N/A, 89.56 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:22.339, 72, N/A, 89.26 W, 96 %, 35 %, 1952 MiB, 0x0000000000000000
2026/05/02 14:59:22.847, 71, N/A, 89.16 W, 96 %, 34 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:23.357, 71, N/A, 88.50 W, 96 %, 36 %, 1953 MiB, 0x0000000000000000
2026/05/02 14:59:23.857, 71, N/A, 88.02 W, 97 %, 37 %, 1953 MiB, 0x0000000000000000
