timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
22:17.8, NVIDIA GeForce RTX 4060 Laptop GPU,88%,23%, 797 MiB, 8188 MiB,88.82,78, 2475 MHz, 8001 MHz,,,,,,
22:18.8, NVIDIA GeForce RTX 4060 Laptop GPU,89%,23%, 797 MiB, 8188 MiB,88.75,78, 2475 MHz, 8001 MHz,,,,,,
22:19.8, NVIDIA GeForce RTX 4060 Laptop GPU,78%,18%, 797 MiB, 8188 MiB,77.74,76, 2475 MHz, 8001 MHz,,,,,,
22:20.8, NVIDIA GeForce RTX 4060 Laptop GPU,75%,17%, 797 MiB, 8188 MiB,75.99,76, 2475 MHz, 8001 MHz,,,,,,
22:21.8, NVIDIA GeForce RTX 4060 Laptop GPU,74%,17%, 797 MiB, 8188 MiB,74.37,76, 2475 MHz, 8001 MHz,,,,,,
22:22.8, NVIDIA GeForce RTX 4060 Laptop GPU,75%,17%, 797 MiB, 8188 MiB,74.48,76, 2475 MHz, 8001 MHz,,,,,,
22:23.8, NVIDIA GeForce RTX 4060 Laptop GPU,75%,17%, 797 MiB, 8188 MiB,74.87,77, 2475 MHz, 8001 MHz,,,,,,
22:24.8, NVIDIA GeForce RTX 4060 Laptop GPU,91%,26%, 797 MiB, 8188 MiB,80.49,78, 2325 MHz, 8001 MHz,,,,,,
22:25.8, NVIDIA GeForce RTX 4060 Laptop GPU,91%,28%, 797 MiB, 8188 MiB,86.84,79, 2400 MHz, 8001 MHz,,,,,,
22:26.8, NVIDIA GeForce RTX 4060 Laptop GPU,91%,29%, 797 MiB, 8188 MiB,91.17,81, 2415 MHz, 8001 MHz,,,,,,
22:27.8, NVIDIA GeForce RTX 4060 Laptop GPU,91%,28%, 797 MiB, 8188 MiB,93.41,81, 2445 MHz, 8001 MHz,,,,,,
22:28.9, NVIDIA GeForce RTX 4060 Laptop GPU,88%,28%, 797 MiB, 8188 MiB,94.31,82, 2475 MHz, 8001 MHz,,,,,,
22:29.9, NVIDIA GeForce RTX 4060 Laptop GPU,88%,28%, 802 MiB, 8188 MiB,91.09,80, 2460 MHz, 8001 MHz,,,,,,
22:30.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,23%, 802 MiB, 8188 MiB,88.86,81, 2475 MHz, 8001 MHz,,,,,,
22:31.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,22%, 802 MiB, 8188 MiB,87.55,81, 2475 MHz, 8001 MHz,,,,,,
22:32.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,23%, 802 MiB, 8188 MiB,88.06,81, 2475 MHz, 8001 MHz,,,,,,
22:33.9, NVIDIA GeForce RTX 4060 Laptop GPU,91%,22%, 802 MiB, 8188 MiB,88.11,81, 2475 MHz, 8001 MHz,,,,,,
22:34.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,21%, 802 MiB, 8188 MiB,90.8,81, 2475 MHz, 8001 MHz,,,,,,
22:35.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,21%, 802 MiB, 8188 MiB,87.21,81, 2475 MHz, 8001 MHz,,,,,,
22:36.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,20%, 802 MiB, 8188 MiB,87.15,82, 2475 MHz, 8001 MHz,,,,,,
22:37.9, NVIDIA GeForce RTX 4060 Laptop GPU,91%,21%, 802 MiB, 8188 MiB,88.52,82, 2475 MHz, 8001 MHz,,,,,,
22:38.9, NVIDIA GeForce RTX 4060 Laptop GPU,89%,24%, 797 MiB, 8188 MiB,92.92,83, 2475 MHz, 8001 MHz,,,,,,
22:39.9, NVIDIA GeForce RTX 4060 Laptop GPU,89%,23%, 797 MiB, 8188 MiB,92.72,83, 2475 MHz, 8001 MHz,,,,,,
22:40.9, NVIDIA GeForce RTX 4060 Laptop GPU,89%,22%, 797 MiB, 8188 MiB,92.15,83, 2475 MHz, 8001 MHz,,,,,,
22:41.9, NVIDIA GeForce RTX 4060 Laptop GPU,89%,20%, 802 MiB, 8188 MiB,86.15,82, 2475 MHz, 8001 MHz,,,,,,
22:42.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,20%, 802 MiB, 8188 MiB,85.63,82, 2475 MHz, 8001 MHz,,,,,,
22:44.0, NVIDIA GeForce RTX 4060 Laptop GPU,90%,21%, 802 MiB, 8188 MiB,86.38,82, 2475 MHz, 8001 MHz,,,,,,
22:45.0, NVIDIA GeForce RTX 4060 Laptop GPU,90%,22%, 802 MiB, 8188 MiB,86.59,82, 2475 MHz, 8001 MHz,,,,,,
22:46.0, NVIDIA GeForce RTX 4060 Laptop GPU,87%,27%, 797 MiB, 8188 MiB,90.99,83, 2475 MHz, 8001 MHz,,,,,,
22:47.0, NVIDIA GeForce RTX 4060 Laptop GPU,89%,30%, 797 MiB, 8188 MiB,88.91,83, 2400 MHz, 8001 MHz,,,,,,
22:48.0, NVIDIA GeForce RTX 4060 Laptop GPU,90%,32%, 797 MiB, 8188 MiB,89.06,83, 2400 MHz, 8001 MHz,,,,,,
22:49.0, NVIDIA GeForce RTX 4060 Laptop GPU,89%,33%, 797 MiB, 8188 MiB,89.56,83, 2400 MHz, 8001 MHz,,,,,,
22:50.0, NVIDIA GeForce RTX 4060 Laptop GPU,90%,35%, 797 MiB, 8188 MiB,90.03,83, 2385 MHz, 8001 MHz,,,,,,
22:51.0, NVIDIA GeForce RTX 4060 Laptop GPU,90%,35%, 797 MiB, 8188 MiB,89.23,83, 2370 MHz, 8001 MHz,,,,,,
22:52.0, NVIDIA GeForce RTX 4060 Laptop GPU,90%,34%, 797 MiB, 8188 MiB,89.88,83, 2400 MHz, 8001 MHz,,,,,,
22:53.0, NVIDIA GeForce RTX 4060 Laptop GPU,90%,34%, 797 MiB, 8188 MiB,90.88,84, 2400 MHz, 8001 MHz,,,,,,
22:54.0, NVIDIA GeForce RTX 4060 Laptop GPU,91%,34%, 797 MiB, 8188 MiB,90.69,84, 2400 MHz, 8001 MHz,,,,,,
22:55.0, NVIDIA GeForce RTX 4060 Laptop GPU,90%,33%, 797 MiB, 8188 MiB,92.47,84, 2415 MHz, 8001 MHz,,,,,,
22:56.0, NVIDIA GeForce RTX 4060 Laptop GPU,88%,33%, 797 MiB, 8188 MiB,89.85,84, 2370 MHz, 8001 MHz,,,,,,
22:57.0, NVIDIA GeForce RTX 4060 Laptop GPU,91%,35%, 797 MiB, 8188 MiB,89.29,84, 2385 MHz, 8001 MHz,,,,,,
22:58.1, NVIDIA GeForce RTX 4060 Laptop GPU,90%,35%, 797 MiB, 8188 MiB,90.29,84, 2355 MHz, 8001 MHz,,,,,,
22:59.1, NVIDIA GeForce RTX 4060 Laptop GPU,90%,36%, 797 MiB, 8188 MiB,89.35,84, 2400 MHz, 8001 MHz,,,,,,
23:00.1, NVIDIA GeForce RTX 4060 Laptop GPU,80%,32%, 797 MiB, 8188 MiB,86.66,83, 2415 MHz, 8001 MHz,,,,,,
23:01.1, NVIDIA GeForce RTX 4060 Laptop GPU,89%,34%, 797 MiB, 8188 MiB,83.24,83, 2340 MHz, 8001 MHz,,,,,,
23:02.1, NVIDIA GeForce RTX 4060 Laptop GPU,89%,34%, 797 MiB, 8188 MiB,83.93,83, 2340 MHz, 8001 MHz,,,,,,
23:03.1, NVIDIA GeForce RTX 4060 Laptop GPU,90%,34%, 797 MiB, 8188 MiB,83.15,83, 2295 MHz, 8001 MHz,,,,,,
23:04.1, NVIDIA GeForce RTX 4060 Laptop GPU,89%,33%, 804 MiB, 8188 MiB,83.03,83, 2310 MHz, 8001 MHz,,,,,,
23:05.1, NVIDIA GeForce RTX 4060 Laptop GPU,93%,24%, 804 MiB, 8188 MiB,86.09,84, 2385 MHz, 8001 MHz,,,,,,
23:06.1, NVIDIA GeForce RTX 4060 Laptop GPU,92%,25%, 804 MiB, 8188 MiB,90.44,85, 2445 MHz, 8001 MHz,,,,,,
23:07.1, NVIDIA GeForce RTX 4060 Laptop GPU,92%,24%, 804 MiB, 8188 MiB,91.13,85, 2475 MHz, 8001 MHz,,,,,,
23:08.1, NVIDIA GeForce RTX 4060 Laptop GPU,92%,24%, 804 MiB, 8188 MiB,91.16,85, 2475 MHz, 8001 MHz,,,,,,
23:09.1, NVIDIA GeForce RTX 4060 Laptop GPU,92%,24%, 804 MiB, 8188 MiB,90.46,85, 2475 MHz, 8001 MHz,,,,,,
23:10.1, NVIDIA GeForce RTX 4060 Laptop GPU,91%,16%, 804 MiB, 8188 MiB,86.57,84, 2475 MHz, 8001 MHz,,,,,,
23:11.1, NVIDIA GeForce RTX 4060 Laptop GPU,92%,16%, 804 MiB, 8188 MiB,87.72,85, 2475 MHz, 8001 MHz,,,,,,
23:12.1, NVIDIA GeForce RTX 4060 Laptop GPU,91%,17%, 804 MiB, 8188 MiB,87.73,84, 2475 MHz, 8001 MHz,,,,,,
23:13.2, NVIDIA GeForce RTX 4060 Laptop GPU,92%,17%, 804 MiB, 8188 MiB,88.42,85, 2475 MHz, 8001 MHz,,,,,,
23:14.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,17%, 804 MiB, 8188 MiB,88.64,85, 2475 MHz, 8001 MHz,,,,,,
23:15.2, NVIDIA GeForce RTX 4060 Laptop GPU,92%,17%, 804 MiB, 8188 MiB,89.56,85, 2475 MHz, 8001 MHz,,,,,,
23:16.2, NVIDIA GeForce RTX 4060 Laptop GPU,92%,18%, 804 MiB, 8188 MiB,89.56,85, 2475 MHz, 8001 MHz,,,,,,
23:17.2, NVIDIA GeForce RTX 4060 Laptop GPU,92%,19%, 804 MiB, 8188 MiB,89.97,85, 2475 MHz, 8001 MHz,,,,,,
23:18.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,19%, 804 MiB, 8188 MiB,89.86,85, 2475 MHz, 8001 MHz,,,,,,
23:19.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,19%, 804 MiB, 8188 MiB,89.86,85, 2475 MHz, 8001 MHz,,,,,,
23:20.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,19%, 804 MiB, 8188 MiB,89.88,85, 2475 MHz, 8001 MHz,,,,,,
23:21.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,19%, 804 MiB, 8188 MiB,89.67,85, 2475 MHz, 8001 MHz,,,,,,
23:22.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,32%, 799 MiB, 8188 MiB,95.47,86, 2430 MHz, 8001 MHz,,,,,,
23:23.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,33%, 799 MiB, 8188 MiB,96.22,86, 2445 MHz, 8001 MHz,,,,,,
23:24.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,31%, 801 MiB, 8188 MiB,94.54,86, 2475 MHz, 8001 MHz,,,,,,
23:25.3, NVIDIA GeForce RTX 4060 Laptop GPU,91%,30%, 801 MiB, 8188 MiB,92.97,86, 2445 MHz, 8001 MHz,,,,,,
23:26.3, NVIDIA GeForce RTX 4060 Laptop GPU,91%,30%, 801 MiB, 8188 MiB,94.52,86, 2445 MHz, 8001 MHz,,,,,,
23:27.3, NVIDIA GeForce RTX 4060 Laptop GPU,91%,29%, 801 MiB, 8188 MiB,94.72,86, 2460 MHz, 8001 MHz,,,,,,
23:28.3, NVIDIA GeForce RTX 4060 Laptop GPU,91%,31%, 801 MiB, 8188 MiB,94.67,86, 2445 MHz, 8001 MHz,,,,,,
23:29.3, NVIDIA GeForce RTX 4060 Laptop GPU,91%,28%, 801 MiB, 8188 MiB,94.85,86, 2445 MHz, 8001 MHz,,,,,,
23:30.3, NVIDIA GeForce RTX 4060 Laptop GPU,90%,28%, 801 MiB, 8188 MiB,95.2,86, 2415 MHz, 8001 MHz,,,,,,
23:31.3, NVIDIA GeForce RTX 4060 Laptop GPU,90%,26%, 801 MiB, 8188 MiB,94.82,86, 2475 MHz, 8001 MHz,,,,,,
23:32.3, NVIDIA GeForce RTX 4060 Laptop GPU,90%,22%, 806 MiB, 8188 MiB,93.53,86, 2475 MHz, 8001 MHz,,,,,,
23:33.3, NVIDIA GeForce RTX 4060 Laptop GPU,90%,20%, 806 MiB, 8188 MiB,89.95,85, 2475 MHz, 8001 MHz,,,,,,
23:34.3, NVIDIA GeForce RTX 4060 Laptop GPU,90%,20%, 806 MiB, 8188 MiB,88.32,85, 2475 MHz, 8001 MHz,,,,,,
23:35.4, NVIDIA GeForce RTX 4060 Laptop GPU,80%,17%, 806 MiB, 8188 MiB,80.75,85, 2475 MHz, 8001 MHz,,,,,,
23:36.4, NVIDIA GeForce RTX 4060 Laptop GPU,90%,21%, 806 MiB, 8188 MiB,89.05,85, 2475 MHz, 8001 MHz,,,,,,
23:37.4, NVIDIA GeForce RTX 4060 Laptop GPU,89%,25%, 805 MiB, 8188 MiB,94.09,86, 2475 MHz, 8001 MHz,,,,,,
23:38.4, NVIDIA GeForce RTX 4060 Laptop GPU,89%,26%, 805 MiB, 8188 MiB,94.59,86, 2475 MHz, 8001 MHz,,,,,,
23:39.4, NVIDIA GeForce RTX 4060 Laptop GPU,89%,25%, 792 MiB, 8188 MiB,93.41,85, 2475 MHz, 8001 MHz,,,,,,
23:40.4, NVIDIA GeForce RTX 4060 Laptop GPU,88%,27%, 792 MiB, 8188 MiB,91.69,85, 2475 MHz, 8001 MHz,,,,,,
23:41.4, NVIDIA GeForce RTX 4060 Laptop GPU,88%,28%, 792 MiB, 8188 MiB,97.14,86, 2475 MHz, 8001 MHz,,,,,,
23:42.4, NVIDIA GeForce RTX 4060 Laptop GPU,91%,24%, 796 MiB, 8188 MiB,90.17,85, 2475 MHz, 8001 MHz,,,,,,
23:43.4, NVIDIA GeForce RTX 4060 Laptop GPU,91%,20%, 796 MiB, 8188 MiB,88.04,85, 2475 MHz, 8001 MHz,,,,,,
23:44.5, NVIDIA GeForce RTX 4060 Laptop GPU,88%,25%, 792 MiB, 8188 MiB,91.57,86, 2460 MHz, 8001 MHz,,,,,,
23:45.5, NVIDIA GeForce RTX 4060 Laptop GPU,89%,25%, 792 MiB, 8188 MiB,95.05,86, 2445 MHz, 8001 MHz,,,,,,
23:46.5, NVIDIA GeForce RTX 4060 Laptop GPU,90%,26%, 792 MiB, 8188 MiB,98.08,86, 2445 MHz, 8001 MHz,,,,,,
23:47.5, NVIDIA GeForce RTX 4060 Laptop GPU,89%,26%, 792 MiB, 8188 MiB,94.25,86, 2475 MHz, 8001 MHz,,,,,,
23:48.5, NVIDIA GeForce RTX 4060 Laptop GPU,89%,26%, 792 MiB, 8188 MiB,94.63,86, 2445 MHz, 8001 MHz,,,,,,
23:49.5, NVIDIA GeForce RTX 4060 Laptop GPU,91%,26%, 792 MiB, 8188 MiB,94.78,86, 2445 MHz, 8001 MHz,,,,,,
23:50.5, NVIDIA GeForce RTX 4060 Laptop GPU,90%,26%, 792 MiB, 8188 MiB,94.96,86, 2445 MHz, 8001 MHz,,,,,,
23:51.5, NVIDIA GeForce RTX 4060 Laptop GPU,90%,25%, 792 MiB, 8188 MiB,94.85,87, 2460 MHz, 8001 MHz,,,,,,
23:52.5, NVIDIA GeForce RTX 4060 Laptop GPU,89%,24%, 792 MiB, 8188 MiB,94.71,86, 2445 MHz, 8001 MHz,,,,,,
23:53.5, NVIDIA GeForce RTX 4060 Laptop GPU,90%,23%, 792 MiB, 8188 MiB,94.61,87, 2475 MHz, 8001 MHz,,,,,,
23:54.5, NVIDIA GeForce RTX 4060 Laptop GPU,89%,22%, 792 MiB, 8188 MiB,94.66,87, 2460 MHz, 8001 MHz,,,,,,
23:55.6, NVIDIA GeForce RTX 4060 Laptop GPU,91%,18%, 796 MiB, 8188 MiB,91.07,86, 2475 MHz, 8001 MHz,,,,,,
23:56.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,18%, 796 MiB, 8188 MiB,90.01,86, 2475 MHz, 8001 MHz,,,,,,
23:57.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,17%, 796 MiB, 8188 MiB,88.73,86, 2475 MHz, 8001 MHz,,,,,,
23:58.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,17%, 796 MiB, 8188 MiB,89.49,86, 2475 MHz, 8001 MHz,,,,,,
23:59.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,18%, 796 MiB, 8188 MiB,90.76,86, 2475 MHz, 8001 MHz,,,,,,
24:00.6, NVIDIA GeForce RTX 4060 Laptop GPU,90%,19%, 796 MiB, 8188 MiB,90.81,86, 2415 MHz, 8001 MHz,,,,,,
24:01.6, NVIDIA GeForce RTX 4060 Laptop GPU,91%,20%, 796 MiB, 8188 MiB,92.59,86, 2475 MHz, 8001 MHz,,,,,,
