timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
18:23.7, NVIDIA GeForce RTX 4060 Laptop GPU,96%,27%, 780 MiB, 8188 MiB,87.24,83, 2310 MHz, 8001 MHz,,,,,,
18:24.7, NVIDIA GeForce RTX 4060 Laptop GPU,94%,26%, 777 MiB, 8188 MiB,90.21,84, 2385 MHz, 8001 MHz,,,,,,
18:25.8, NVIDIA GeForce RTX 4060 Laptop GPU,94%,28%, 778 MiB, 8188 MiB,95.17,85, 2385 MHz, 8001 MHz,,,,,,
18:26.8, NVIDIA GeForce RTX 4060 Laptop GPU,74%,24%, 788 MiB, 8188 MiB,79.32,82, 2475 MHz, 8001 MHz,,,,,,
18:27.8, NVIDIA GeForce RTX 4060 Laptop GPU,74%,24%, 788 MiB, 8188 MiB,80.75,82, 2475 MHz, 8001 MHz,,,,,,
18:28.8, NVIDIA GeForce RTX 4060 Laptop GPU,72%,23%, 788 MiB, 8188 MiB,79.43,82, 2475 MHz, 8001 MHz,,,,,,
18:29.8, NVIDIA GeForce RTX 4060 Laptop GPU,65%,21%, 788 MiB, 8188 MiB,73.93,81, 2475 MHz, 8001 MHz,,,,,,
18:30.8, NVIDIA GeForce RTX 4060 Laptop GPU,74%,24%, 788 MiB, 8188 MiB,83.9,82, 2460 MHz, 8001 MHz,,,,,,
18:31.8, NVIDIA GeForce RTX 4060 Laptop GPU,75%,24%, 788 MiB, 8188 MiB,82.18,83, 2475 MHz, 8001 MHz,,,,,,
18:32.8, NVIDIA GeForce RTX 4060 Laptop GPU,92%,26%, 781 MiB, 8188 MiB,84.68,83, 2355 MHz, 8001 MHz,,,,,,
18:33.8, NVIDIA GeForce RTX 4060 Laptop GPU,92%,26%, 781 MiB, 8188 MiB,87.34,84, 2370 MHz, 8001 MHz,,,,,,
18:34.8, NVIDIA GeForce RTX 4060 Laptop GPU,93%,27%, 781 MiB, 8188 MiB,87.75,84, 2370 MHz, 8001 MHz,,,,,,
18:35.8, NVIDIA GeForce RTX 4060 Laptop GPU,93%,27%, 781 MiB, 8188 MiB,91.26,84, 2355 MHz, 8001 MHz,,,,,,
18:36.8, NVIDIA GeForce RTX 4060 Laptop GPU,92%,27%, 781 MiB, 8188 MiB,89.53,84, 2355 MHz, 8001 MHz,,,,,,
18:37.8, NVIDIA GeForce RTX 4060 Laptop GPU,92%,28%, 781 MiB, 8188 MiB,88.22,84, 2355 MHz, 8001 MHz,,,,,,
18:38.8, NVIDIA GeForce RTX 4060 Laptop GPU,90%,27%, 781 MiB, 8188 MiB,86.67,84, 2385 MHz, 8001 MHz,,,,,,
18:39.8, NVIDIA GeForce RTX 4060 Laptop GPU,89%,28%, 781 MiB, 8188 MiB,88.99,84, 2385 MHz, 8001 MHz,,,,,,
18:40.8, NVIDIA GeForce RTX 4060 Laptop GPU,91%,30%, 781 MiB, 8188 MiB,91.2,84, 2385 MHz, 8001 MHz,,,,,,
18:41.8, NVIDIA GeForce RTX 4060 Laptop GPU,88%,29%, 781 MiB, 8188 MiB,92.35,85, 2415 MHz, 8001 MHz,,,,,,
18:42.9, NVIDIA GeForce RTX 4060 Laptop GPU,87%,28%, 781 MiB, 8188 MiB,93.54,85, 2415 MHz, 8001 MHz,,,,,,
18:43.9, NVIDIA GeForce RTX 4060 Laptop GPU,96%,31%, 772 MiB, 8188 MiB,95.32,85, 2385 MHz, 8001 MHz,,,,,,
18:44.9, NVIDIA GeForce RTX 4060 Laptop GPU,95%,30%, 772 MiB, 8188 MiB,89.57,85, 2385 MHz, 8001 MHz,,,,,,
18:45.9, NVIDIA GeForce RTX 4060 Laptop GPU,95%,29%, 772 MiB, 8188 MiB,92.21,85, 2385 MHz, 8001 MHz,,,,,,
18:46.9, NVIDIA GeForce RTX 4060 Laptop GPU,91%,30%, 772 MiB, 8188 MiB,95.01,85, 2415 MHz, 8001 MHz,,,,,,
18:47.9, NVIDIA GeForce RTX 4060 Laptop GPU,96%,31%, 766 MiB, 8188 MiB,94.88,85, 2415 MHz, 8001 MHz,,,,,,
18:48.9, NVIDIA GeForce RTX 4060 Laptop GPU,92%,31%, 772 MiB, 8188 MiB,94.95,85, 2430 MHz, 8001 MHz,,,,,,
18:49.9, NVIDIA GeForce RTX 4060 Laptop GPU,91%,32%, 772 MiB, 8188 MiB,94.88,85, 2415 MHz, 8001 MHz,,,,,,
18:50.9, NVIDIA GeForce RTX 4060 Laptop GPU,92%,32%, 772 MiB, 8188 MiB,94.96,85, 2400 MHz, 8001 MHz,,,,,,
18:51.9, NVIDIA GeForce RTX 4060 Laptop GPU,89%,31%, 772 MiB, 8188 MiB,94.67,85, 2385 MHz, 8001 MHz,,,,,,
18:52.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,32%, 772 MiB, 8188 MiB,94.81,86, 2400 MHz, 8001 MHz,,,,,,
18:53.9, NVIDIA GeForce RTX 4060 Laptop GPU,90%,30%, 772 MiB, 8188 MiB,94.95,86, 2415 MHz, 8001 MHz,,,,,,
18:54.9, NVIDIA GeForce RTX 4060 Laptop GPU,75%,23%, 772 MiB, 8188 MiB,94.03,78, 2475 MHz, 8001 MHz,,,,,,
18:55.9, NVIDIA GeForce RTX 4060 Laptop GPU,80%,27%, 772 MiB, 8188 MiB,85.04,84, 2475 MHz, 8001 MHz,,,,,,
18:56.9, NVIDIA GeForce RTX 4060 Laptop GPU,76%,24%, 772 MiB, 8188 MiB,84.67,84, 2475 MHz, 8001 MHz,,,,,,
18:57.9, NVIDIA GeForce RTX 4060 Laptop GPU,76%,25%, 772 MiB, 8188 MiB,82.5,83, 2475 MHz, 8001 MHz,,,,,,
18:59.0, NVIDIA GeForce RTX 4060 Laptop GPU,70%,24%, 766 MiB, 8188 MiB,77,82, 2475 MHz, 8001 MHz,,,,,,
19:00.0, NVIDIA GeForce RTX 4060 Laptop GPU,56%,17%, 766 MiB, 8188 MiB,64.41,80, 2475 MHz, 8001 MHz,,,,,,
19:01.0, NVIDIA GeForce RTX 4060 Laptop GPU,48%,15%, 766 MiB, 8188 MiB,61.73,79, 2475 MHz, 8001 MHz,,,,,,
19:02.0, NVIDIA GeForce RTX 4060 Laptop GPU,50%,16%, 766 MiB, 8188 MiB,58.62,78, 2475 MHz, 8001 MHz,,,,,,
19:03.0, NVIDIA GeForce RTX 4060 Laptop GPU,66%,19%, 772 MiB, 8188 MiB,69.4,80, 2475 MHz, 8001 MHz,,,,,,
19:04.0, NVIDIA GeForce RTX 4060 Laptop GPU,70%,19%, 772 MiB, 8188 MiB,71.68,81, 2475 MHz, 8001 MHz,,,,,,
19:05.0, NVIDIA GeForce RTX 4060 Laptop GPU,72%,19%, 773 MiB, 8188 MiB,74.53,81, 2475 MHz, 8001 MHz,,,,,,
19:06.0, NVIDIA GeForce RTX 4060 Laptop GPU,76%,19%, 773 MiB, 8188 MiB,76.94,82, 2475 MHz, 8001 MHz,,,,,,
19:07.0, NVIDIA GeForce RTX 4060 Laptop GPU,64%,18%, 769 MiB, 8188 MiB,73.2,81, 2475 MHz, 8001 MHz,,,,,,
19:08.0, NVIDIA GeForce RTX 4060 Laptop GPU,48%,13%, 770 MiB, 8188 MiB,71.68,81, 2475 MHz, 8001 MHz,,,,,,
19:09.0, NVIDIA GeForce RTX 4060 Laptop GPU,67%,20%, 770 MiB, 8188 MiB,73.84,81, 2475 MHz, 8001 MHz,,,,,,
19:10.0, NVIDIA GeForce RTX 4060 Laptop GPU,67%,20%, 770 MiB, 8188 MiB,75.45,81, 2475 MHz, 8001 MHz,,,,,,
19:11.0, NVIDIA GeForce RTX 4060 Laptop GPU,53%,17%, 772 MiB, 8188 MiB,75.54,82, 2475 MHz, 8001 MHz,,,,,,
19:12.0, NVIDIA GeForce RTX 4060 Laptop GPU,76%,24%, 786 MiB, 8188 MiB,81.24,83, 2475 MHz, 8001 MHz,,,,,,
19:13.1, NVIDIA GeForce RTX 4060 Laptop GPU,70%,17%, 786 MiB, 8188 MiB,68.18,80, 2475 MHz, 8001 MHz,,,,,,
19:14.1, NVIDIA GeForce RTX 4060 Laptop GPU,68%,17%, 786 MiB, 8188 MiB,67.01,80, 2475 MHz, 8001 MHz,,,,,,
19:15.1, NVIDIA GeForce RTX 4060 Laptop GPU,66%,17%, 786 MiB, 8188 MiB,65.88,79, 2475 MHz, 8001 MHz,,,,,,
19:16.1, NVIDIA GeForce RTX 4060 Laptop GPU,68%,18%, 786 MiB, 8188 MiB,67.73,79, 2475 MHz, 8001 MHz,,,,,,
19:17.1, NVIDIA GeForce RTX 4060 Laptop GPU,67%,18%, 786 MiB, 8188 MiB,68.26,79, 2475 MHz, 8001 MHz,,,,,,
19:18.1, NVIDIA GeForce RTX 4060 Laptop GPU,67%,17%, 786 MiB, 8188 MiB,68.98,80, 2475 MHz, 8001 MHz,,,,,,
19:19.1, NVIDIA GeForce RTX 4060 Laptop GPU,69%,18%, 786 MiB, 8188 MiB,68.98,80, 2475 MHz, 8001 MHz,,,,,,
19:20.1, NVIDIA GeForce RTX 4060 Laptop GPU,62%,18%, 779 MiB, 8188 MiB,55.73,79, 2475 MHz, 8001 MHz,,,,,,
19:21.1, NVIDIA GeForce RTX 4060 Laptop GPU,73%,26%, 781 MiB, 8188 MiB,71.38,81, 2475 MHz, 8001 MHz,,,,,,
19:22.1, NVIDIA GeForce RTX 4060 Laptop GPU,64%,19%, 779 MiB, 8188 MiB,72.54,80, 2475 MHz, 8001 MHz,,,,,,
19:23.1, NVIDIA GeForce RTX 4060 Laptop GPU,61%,17%, 773 MiB, 8188 MiB,63.86,79, 2475 MHz, 8001 MHz,,,,,,
19:24.1, NVIDIA GeForce RTX 4060 Laptop GPU,89%,27%, 786 MiB, 8188 MiB,65.65,82, 2385 MHz, 8001 MHz,,,,,,
19:25.1, NVIDIA GeForce RTX 4060 Laptop GPU,94%,28%, 786 MiB, 8188 MiB,81.74,82, 2355 MHz, 8001 MHz,,,,,,
19:26.2, NVIDIA GeForce RTX 4060 Laptop GPU,93%,27%, 786 MiB, 8188 MiB,77.69,82, 2325 MHz, 8001 MHz,,,,,,
19:27.2, NVIDIA GeForce RTX 4060 Laptop GPU,94%,28%, 786 MiB, 8188 MiB,82.01,82, 2310 MHz, 8001 MHz,,,,,,
19:28.2, NVIDIA GeForce RTX 4060 Laptop GPU,93%,29%, 786 MiB, 8188 MiB,79.78,84, 2280 MHz, 8001 MHz,,,,,,
19:29.2, NVIDIA GeForce RTX 4060 Laptop GPU,98%,32%, 785 MiB, 8188 MiB,82.61,84, 2310 MHz, 8001 MHz,,,,,,
19:30.2, NVIDIA GeForce RTX 4060 Laptop GPU,75%,28%, 785 MiB, 8188 MiB,89.62,84, 2415 MHz, 8001 MHz,,,,,,
19:31.2, NVIDIA GeForce RTX 4060 Laptop GPU,93%,32%, 785 MiB, 8188 MiB,83.9,83, 2295 MHz, 8001 MHz,,,,,,
19:32.2, NVIDIA GeForce RTX 4060 Laptop GPU,95%,33%, 785 MiB, 8188 MiB,82.04,83, 2280 MHz, 8001 MHz,,,,,,
19:33.2, NVIDIA GeForce RTX 4060 Laptop GPU,95%,33%, 785 MiB, 8188 MiB,82.93,83, 2295 MHz, 8001 MHz,,,,,,
19:34.2, NVIDIA GeForce RTX 4060 Laptop GPU,95%,33%, 785 MiB, 8188 MiB,83.71,83, 2340 MHz, 8001 MHz,,,,,,
19:35.2, NVIDIA GeForce RTX 4060 Laptop GPU,84%,29%, 779 MiB, 8188 MiB,87.76,84, 2415 MHz, 8001 MHz,,,,,,
19:36.2, NVIDIA GeForce RTX 4060 Laptop GPU,95%,32%, 784 MiB, 8188 MiB,81.04,83, 2295 MHz, 8001 MHz,,,,,,
19:37.2, NVIDIA GeForce RTX 4060 Laptop GPU,95%,33%, 782 MiB, 8188 MiB,84.33,83, 2325 MHz, 8001 MHz,,,,,,
19:38.2, NVIDIA GeForce RTX 4060 Laptop GPU,94%,34%, 782 MiB, 8188 MiB,88.54,84, 2370 MHz, 8001 MHz,,,,,,
19:39.2, NVIDIA GeForce RTX 4060 Laptop GPU,95%,33%, 782 MiB, 8188 MiB,92.45,84, 2430 MHz, 8001 MHz,,,,,,
19:40.2, NVIDIA GeForce RTX 4060 Laptop GPU,91%,28%, 782 MiB, 8188 MiB,92.83,85, 2430 MHz, 8001 MHz,,,,,,
19:41.2, NVIDIA GeForce RTX 4060 Laptop GPU,87%,27%, 777 MiB, 8188 MiB,90.64,85, 2445 MHz, 8001 MHz,,,,,,
19:42.2, NVIDIA GeForce RTX 4060 Laptop GPU,89%,29%, 777 MiB, 8188 MiB,85.93,84, 2400 MHz, 8001 MHz,,,,,,
19:43.2, NVIDIA GeForce RTX 4060 Laptop GPU,83%,29%, 777 MiB, 8188 MiB,85.3,84, 2415 MHz, 8001 MHz,,,,,,
19:44.3, NVIDIA GeForce RTX 4060 Laptop GPU,81%,29%, 776 MiB, 8188 MiB,84.79,84, 2415 MHz, 8001 MHz,,,,,,
19:45.3, NVIDIA GeForce RTX 4060 Laptop GPU,78%,29%, 776 MiB, 8188 MiB,84.67,84, 2400 MHz, 8001 MHz,,,,,,
19:46.3, NVIDIA GeForce RTX 4060 Laptop GPU,74%,27%, 784 MiB, 8188 MiB,84.43,84, 2445 MHz, 8001 MHz,,,,,,
19:47.3, NVIDIA GeForce RTX 4060 Laptop GPU,62%,21%, 783 MiB, 8188 MiB,63.51,80, 2475 MHz, 8001 MHz,,,,,,
19:48.3, NVIDIA GeForce RTX 4060 Laptop GPU,63%,21%, 783 MiB, 8188 MiB,69.36,80, 2475 MHz, 8001 MHz,,,,,,
19:49.3, NVIDIA GeForce RTX 4060 Laptop GPU,65%,22%, 783 MiB, 8188 MiB,70.45,80, 2475 MHz, 8001 MHz,,,,,,
19:50.3, NVIDIA GeForce RTX 4060 Laptop GPU,67%,23%, 783 MiB, 8188 MiB,70.83,81, 2475 MHz, 8001 MHz,,,,,,
19:51.3, NVIDIA GeForce RTX 4060 Laptop GPU,69%,24%, 783 MiB, 8188 MiB,72.77,81, 2475 MHz, 8001 MHz,,,,,,
19:52.3, NVIDIA GeForce RTX 4060 Laptop GPU,71%,25%, 783 MiB, 8188 MiB,73.9,82, 2475 MHz, 8001 MHz,,,,,,
19:53.3, NVIDIA GeForce RTX 4060 Laptop GPU,72%,24%, 783 MiB, 8188 MiB,76.51,82, 2475 MHz, 8001 MHz,,,,,,
19:54.3, NVIDIA GeForce RTX 4060 Laptop GPU,73%,24%, 783 MiB, 8188 MiB,76.99,82, 2475 MHz, 8001 MHz,,,,,,
19:55.3, NVIDIA GeForce RTX 4060 Laptop GPU,71%,24%, 783 MiB, 8188 MiB,80.6,82, 2475 MHz, 8001 MHz,,,,,,
19:56.3, NVIDIA GeForce RTX 4060 Laptop GPU,74%,24%, 783 MiB, 8188 MiB,78.61,82, 2475 MHz, 8001 MHz,,,,,,
19:57.4, NVIDIA GeForce RTX 4060 Laptop GPU,63%,19%, 785 MiB, 8188 MiB,62.31,79, 2475 MHz, 8001 MHz,,,,,,
19:58.4, NVIDIA GeForce RTX 4060 Laptop GPU,72%,25%, 785 MiB, 8188 MiB,81.53,82, 2475 MHz, 8001 MHz,,,,,,
19:59.4, NVIDIA GeForce RTX 4060 Laptop GPU,61%,21%, 785 MiB, 8188 MiB,73.74,81, 2475 MHz, 8001 MHz,,,,,,
20:00.4, NVIDIA GeForce RTX 4060 Laptop GPU,58%,20%, 773 MiB, 8188 MiB,68.71,81, 2475 MHz, 8001 MHz,,,,,,
20:01.4, NVIDIA GeForce RTX 4060 Laptop GPU,57%,19%, 768 MiB, 8188 MiB,66.95,80, 2475 MHz, 8001 MHz,,,,,,
20:02.4, NVIDIA GeForce RTX 4060 Laptop GPU,73%,25%, 768 MiB, 8188 MiB,78.54,83, 2430 MHz, 8001 MHz,,,,,,
20:03.4, NVIDIA GeForce RTX 4060 Laptop GPU,57%,17%, 772 MiB, 8188 MiB,65.63,81, 2475 MHz, 8001 MHz,,,,,,
20:04.4, NVIDIA GeForce RTX 4060 Laptop GPU,59%,18%, 772 MiB, 8188 MiB,71.33,81, 2475 MHz, 8001 MHz,,,,,,
20:05.4, NVIDIA GeForce RTX 4060 Laptop GPU,59%,18%, 772 MiB, 8188 MiB,73.26,82, 2475 MHz, 8001 MHz,,,,,,
20:06.4, NVIDIA GeForce RTX 4060 Laptop GPU,61%,18%, 772 MiB, 8188 MiB,73.73,82, 2475 MHz, 8001 MHz,,,,,,
20:07.4, NVIDIA GeForce RTX 4060 Laptop GPU,55%,17%, 772 MiB, 8188 MiB,68.98,81, 2475 MHz, 8001 MHz,,,,,,
20:08.4, NVIDIA GeForce RTX 4060 Laptop GPU,58%,18%, 772 MiB, 8188 MiB,71.23,81, 2475 MHz, 8001 MHz,,,,,,
20:09.5, NVIDIA GeForce RTX 4060 Laptop GPU,63%,20%, 777 MiB, 8188 MiB,72.03,81, 2475 MHz, 8001 MHz,,,,,,
20:10.5, NVIDIA GeForce RTX 4060 Laptop GPU,67%,23%, 793 MiB, 8188 MiB,77.04,82, 2475 MHz, 8001 MHz,,,,,,
20:11.5, NVIDIA GeForce RTX 4060 Laptop GPU,80%,26%, 793 MiB, 8188 MiB,86.28,84, 2415 MHz, 8001 MHz,,,,,,
20:12.5, NVIDIA GeForce RTX 4060 Laptop GPU,78%,26%, 793 MiB, 8188 MiB,84.5,84, 2415 MHz, 8001 MHz,,,,,,
20:13.5, NVIDIA GeForce RTX 4060 Laptop GPU,81%,27%, 793 MiB, 8188 MiB,86.18,84, 2430 MHz, 8001 MHz,,,,,,
20:14.5, NVIDIA GeForce RTX 4060 Laptop GPU,84%,26%, 796 MiB, 8188 MiB,84.82,84, 2475 MHz, 8001 MHz,,,,,,
20:15.5, NVIDIA GeForce RTX 4060 Laptop GPU,80%,27%, 796 MiB, 8188 MiB,86.29,84, 2415 MHz, 8001 MHz,,,,,,
20:16.5, NVIDIA GeForce RTX 4060 Laptop GPU,77%,28%, 797 MiB, 8188 MiB,85.58,84, 2475 MHz, 8001 MHz,,,,,,
20:17.5, NVIDIA GeForce RTX 4060 Laptop GPU,86%,30%, 797 MiB, 8188 MiB,83.33,84, 2385 MHz, 8001 MHz,,,,,,
20:18.5, NVIDIA GeForce RTX 4060 Laptop GPU,87%,32%, 797 MiB, 8188 MiB,83.97,84, 2370 MHz, 8001 MHz,,,,,,
20:19.5, NVIDIA GeForce RTX 4060 Laptop GPU,91%,33%, 797 MiB, 8188 MiB,83.75,84, 2340 MHz, 8001 MHz,,,,,,
20:20.5, NVIDIA GeForce RTX 4060 Laptop GPU,35%,29%, 672 MiB, 8188 MiB,75.01,77, 2475 MHz, 8001 MHz,,,,,,
20:21.5, NVIDIA GeForce RTX 4060 Laptop GPU,34%,28%, 672 MiB, 8188 MiB,46.87,76, 2475 MHz, 8001 MHz,,,,,,
20:22.5, NVIDIA GeForce RTX 4060 Laptop GPU,32%,25%, 672 MiB, 8188 MiB,41.41,74, 2115 MHz, 8001 MHz,,,,,,
20:23.6, NVIDIA GeForce RTX 4060 Laptop GPU,34%,25%, 672 MiB, 8188 MiB,33.16,73, 1965 MHz, 8001 MHz,,,,,,
20:24.6, NVIDIA GeForce RTX 4060 Laptop GPU,34%,24%, 672 MiB, 8188 MiB,30.92,72, 1845 MHz, 8001 MHz,,,,,,
20:25.6, NVIDIA GeForce RTX 4060 Laptop GPU,1%,0%, 509 MiB, 8188 MiB,19.75,70, 1710 MHz, 8001 MHz,,,,,,
20:26.6, NVIDIA GeForce RTX 4060 Laptop GPU,6%,1%, 509 MiB, 8188 MiB,15.86,69, 1170 MHz, 8001 MHz,,,,,,
20:27.6, NVIDIA GeForce RTX 4060 Laptop GPU,2%,0%, 509 MiB, 8188 MiB,11.88,68, 765 MHz, 6001 MHz,,,,,,
20:28.6, NVIDIA GeForce RTX 4060 Laptop GPU,3%,0%, 509 MiB, 8188 MiB,11.89,67, 495 MHz, 6001 MHz,,,,,,
20:29.6, NVIDIA GeForce RTX 4060 Laptop GPU,7%,0%, 509 MiB, 8188 MiB,11.9,67, 330 MHz, 6001 MHz,,,,,,
20:30.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,3%, 497 MiB, 8188 MiB,10.4,66, 225 MHz, 810 MHz,,,,,,
20:31.6, NVIDIA GeForce RTX 4060 Laptop GPU,3%,1%, 504 MiB, 8188 MiB,22.61,67, 2250 MHz, 8001 MHz,,,,,,
20:32.6, NVIDIA GeForce RTX 4060 Laptop GPU,1%,0%, 402 MiB, 8188 MiB,22.06,67, 2250 MHz, 8001 MHz,,,,,,
20:33.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 401 MiB, 8188 MiB,21.43,67, 2250 MHz, 8001 MHz,,,,,,
20:34.6, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 384 MiB, 8188 MiB,9.96,66, 495 MHz, 810 MHz,,,,,,
20:35.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 396 MiB, 8188 MiB,4.57,65, 315 MHz, 405 MHz,,,,,,
20:36.7, NVIDIA GeForce RTX 4060 Laptop GPU,3%,0%, 383 MiB, 8188 MiB,4.6,64, 210 MHz, 405 MHz,,,,,,
20:37.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 377 MiB, 8188 MiB,4.59,64, 210 MHz, 405 MHz,,,,,,
20:38.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.56,64, 210 MHz, 405 MHz,,,,,,
20:39.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.53,63, 210 MHz, 405 MHz,,,,,,
20:40.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.52,63, 210 MHz, 405 MHz,,,,,,
20:41.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.58,63, 210 MHz, 405 MHz,,,,,,
20:42.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.39,62, 210 MHz, 405 MHz,,,,,,
20:43.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.49,62, 210 MHz, 405 MHz,,,,,,
20:44.7, NVIDIA GeForce RTX 4060 Laptop GPU,3%,0%, 357 MiB, 8188 MiB,4.47,61, 210 MHz, 405 MHz,,,,,,
20:45.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.47,61, 210 MHz, 405 MHz,,,,,,
20:46.7, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.49,61, 210 MHz, 405 MHz,,,,,,
20:47.8, NVIDIA GeForce RTX 4060 Laptop GPU,3%,0%, 357 MiB, 8188 MiB,4.5,60, 210 MHz, 405 MHz,,,,,,
20:48.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.46,60, 210 MHz, 405 MHz,,,,,,
20:49.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.4,60, 210 MHz, 405 MHz,,,,,,
20:50.8, NVIDIA GeForce RTX 4060 Laptop GPU,3%,0%, 357 MiB, 8188 MiB,4.39,60, 210 MHz, 405 MHz,,,,,,
20:51.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.38,59, 210 MHz, 405 MHz,,,,,,
20:52.8, NVIDIA GeForce RTX 4060 Laptop GPU,3%,0%, 357 MiB, 8188 MiB,4.37,59, 210 MHz, 405 MHz,,,,,,
20:53.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.4,59, 210 MHz, 405 MHz,,,,,,
20:54.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.38,59, 210 MHz, 405 MHz,,,,,,
20:55.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.35,58, 210 MHz, 405 MHz,,,,,,
20:56.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.34,58, 210 MHz, 405 MHz,,,,,,
20:57.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.33,58, 210 MHz, 405 MHz,,,,,,
20:58.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.32,58, 210 MHz, 405 MHz,,,,,,
20:59.8, NVIDIA GeForce RTX 4060 Laptop GPU,0%,0%, 357 MiB, 8188 MiB,4.24,58, 210 MHz, 405 MHz,,,,,,
21:00.8, NVIDIA GeForce RTX 4060 Laptop GPU,6%,0%, 357 MiB, 8188 MiB,4.27,57, 210 MHz, 405 MHz,,,,,,
