timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz],,,,,,
16:12.8, NVIDIA GeForce RTX 4060 Laptop GPU,80%,28%, 770 MiB, 8188 MiB,74.61,67, 2490 MHz, 8001 MHz,,,,,,
16:13.8, NVIDIA GeForce RTX 4060 Laptop GPU,86%,31%, 770 MiB, 8188 MiB,78.24,68, 2340 MHz, 8001 MHz,,,,,,
16:14.9, NVIDIA GeForce RTX 4060 Laptop GPU,91%,32%, 770 MiB, 8188 MiB,73.07,68, 2295 MHz, 8001 MHz,,,,,,
16:15.9, NVIDIA GeForce RTX 4060 Laptop GPU,83%,29%, 770 MiB, 8188 MiB,72.25,69, 2340 MHz, 8001 MHz,,,,,,
16:16.9, NVIDIA GeForce RTX 4060 Laptop GPU,59%,20%, 770 MiB, 8188 MiB,60.74,66, 2490 MHz, 8001 MHz,,,,,,
16:17.9, NVIDIA GeForce RTX 4060 Laptop GPU,58%,20%, 770 MiB, 8188 MiB,61.57,66, 2490 MHz, 8001 MHz,,,,,,
16:18.9, NVIDIA GeForce RTX 4060 Laptop GPU,58%,21%, 770 MiB, 8188 MiB,61.73,66, 2490 MHz, 8001 MHz,,,,,,
16:19.9, NVIDIA GeForce RTX 4060 Laptop GPU,56%,20%, 770 MiB, 8188 MiB,60.86,66, 2490 MHz, 8001 MHz,,,,,,
16:20.9, NVIDIA GeForce RTX 4060 Laptop GPU,58%,21%, 770 MiB, 8188 MiB,61.28,66, 2490 MHz, 8001 MHz,,,,,,
16:21.9, NVIDIA GeForce RTX 4060 Laptop GPU,58%,20%, 770 MiB, 8188 MiB,61.69,67, 2490 MHz, 8001 MHz,,,,,,
16:22.9, NVIDIA GeForce RTX 4060 Laptop GPU,91%,32%, 769 MiB, 8188 MiB,81.02,70, 2370 MHz, 8001 MHz,,,,,,
16:23.9, NVIDIA GeForce RTX 4060 Laptop GPU,86%,31%, 769 MiB, 8188 MiB,79.03,71, 2355 MHz, 8001 MHz,,,,,,
16:24.9, NVIDIA GeForce RTX 4060 Laptop GPU,86%,32%, 769 MiB, 8188 MiB,80.72,71, 2370 MHz, 8001 MHz,,,,,,
16:25.9, NVIDIA GeForce RTX 4060 Laptop GPU,85%,30%, 769 MiB, 8188 MiB,79.31,72, 2325 MHz, 8001 MHz,,,,,,
16:26.9, NVIDIA GeForce RTX 4060 Laptop GPU,76%,28%, 769 MiB, 8188 MiB,79.33,72, 2340 MHz, 8001 MHz,,,,,,
16:27.9, NVIDIA GeForce RTX 4060 Laptop GPU,67%,23%, 775 MiB, 8188 MiB,55.9,70, 2445 MHz, 8001 MHz,,,,,,
16:28.9, NVIDIA GeForce RTX 4060 Laptop GPU,86%,30%, 775 MiB, 8188 MiB,79.25,72, 2340 MHz, 8001 MHz,,,,,,
16:29.9, NVIDIA GeForce RTX 4060 Laptop GPU,75%,29%, 775 MiB, 8188 MiB,75.9,72, 2400 MHz, 8001 MHz,,,,,,
16:30.9, NVIDIA GeForce RTX 4060 Laptop GPU,92%,32%, 775 MiB, 8188 MiB,80.35,72, 2385 MHz, 8001 MHz,,,,,,
16:31.9, NVIDIA GeForce RTX 4060 Laptop GPU,94%,32%, 775 MiB, 8188 MiB,75.79,73, 2295 MHz, 8001 MHz,,,,,,
16:32.9, NVIDIA GeForce RTX 4060 Laptop GPU,93%,31%, 775 MiB, 8188 MiB,78.89,74, 2370 MHz, 8001 MHz,,,,,,
16:34.0, NVIDIA GeForce RTX 4060 Laptop GPU,93%,31%, 773 MiB, 8188 MiB,84.91,75, 2415 MHz, 8001 MHz,,,,,,
16:35.0, NVIDIA GeForce RTX 4060 Laptop GPU,93%,31%, 773 MiB, 8188 MiB,89.33,76, 2415 MHz, 8001 MHz,,,,,,
16:36.0, NVIDIA GeForce RTX 4060 Laptop GPU,93%,32%, 773 MiB, 8188 MiB,94.43,77, 2460 MHz, 8001 MHz,,,,,,
16:37.0, NVIDIA GeForce RTX 4060 Laptop GPU,91%,33%, 768 MiB, 8188 MiB,94.54,78, 2445 MHz, 8001 MHz,,,,,,
16:38.0, NVIDIA GeForce RTX 4060 Laptop GPU,92%,31%, 768 MiB, 8188 MiB,93.54,78, 2445 MHz, 8001 MHz,,,,,,
16:39.0, NVIDIA GeForce RTX 4060 Laptop GPU,91%,29%, 769 MiB, 8188 MiB,91.79,78, 2475 MHz, 8001 MHz,,,,,,
16:40.0, NVIDIA GeForce RTX 4060 Laptop GPU,76%,28%, 774 MiB, 8188 MiB,78.52,75, 2475 MHz, 8001 MHz,,,,,,
16:41.0, NVIDIA GeForce RTX 4060 Laptop GPU,77%,29%, 774 MiB, 8188 MiB,79.44,75, 2475 MHz, 8001 MHz,,,,,,
16:42.0, NVIDIA GeForce RTX 4060 Laptop GPU,74%,29%, 774 MiB, 8188 MiB,78.5,75, 2475 MHz, 8001 MHz,,,,,,
16:43.0, NVIDIA GeForce RTX 4060 Laptop GPU,73%,29%, 774 MiB, 8188 MiB,78.7,76, 2475 MHz, 8001 MHz,,,,,,
16:44.0, NVIDIA GeForce RTX 4060 Laptop GPU,66%,28%, 770 MiB, 8188 MiB,67.4,75, 2475 MHz, 8001 MHz,,,,,,
16:45.0, NVIDIA GeForce RTX 4060 Laptop GPU,71%,31%, 770 MiB, 8188 MiB,78.4,76, 2445 MHz, 8001 MHz,,,,,,
16:46.0, NVIDIA GeForce RTX 4060 Laptop GPU,74%,32%, 768 MiB, 8188 MiB,78.55,76, 2460 MHz, 8001 MHz,,,,,,
16:47.0, NVIDIA GeForce RTX 4060 Laptop GPU,72%,31%, 768 MiB, 8188 MiB,78.29,76, 2415 MHz, 8001 MHz,,,,,,
