timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 21:25:20.932, 40, 2.17 W, 3 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:21.443, 40, 2.35 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:21.947, 40, 2.36 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:22.447, 40, 2.36 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:22.962, 40, 2.07 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:23.476, 40, 2.07 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:23.991, 41, 7.11 W, 23 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:24.495, 42, 18.42 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:25.001, 42, 18.90 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:25.510, 42, 19.14 W, 4 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:26.018, 43, 18.28 W, 0 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000024
2026/05/01 21:25:26.519, 43, 17.69 W, 0 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:27.028, 43, 18.99 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:27.533, 43, 18.68 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:28.038, 43, 18.72 W, 3 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:28.553, 43, 19.23 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:29.062, 43, 19.55 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:29.571, 44, 18.75 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:30.080, 44, 18.86 W, 3 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:30.596, 43, 9.01 W, 0 %, 510 MHz, 810 MHz, 510 MHz, 0x0000000000000001
2026/05/01 21:25:31.098, 43, 8.90 W, 0 %, 435 MHz, 810 MHz, 435 MHz, 0x0000000000000001
2026/05/01 21:25:31.602, 43, 5.34 W, 0 %, 330 MHz, 8001 MHz, 330 MHz, 0x0000000000000001
2026/05/01 21:25:32.112, 43, 5.59 W, 8 %, 270 MHz, 8001 MHz, 270 MHz, 0x0000000000000001
2026/05/01 21:25:32.619, 43, 5.53 W, 0 %, 225 MHz, 405 MHz, 225 MHz, 0x0000000000000001
2026/05/01 21:25:33.120, 43, 5.66 W, 32 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:33.627, 43, 5.79 W, 0 %, 345 MHz, 405 MHz, 345 MHz, 0x0000000000000001
2026/05/01 21:25:34.132, 43, 5.70 W, 18 %, 345 MHz, 405 MHz, 345 MHz, 0x0000000000000001
2026/05/01 21:25:34.642, 43, 5.67 W, 14 %, 345 MHz, 405 MHz, 345 MHz, 0x0000000000000001
2026/05/01 21:25:35.143, 43, 5.59 W, 12 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:35.652, 43, 5.64 W, 11 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:36.163, 43, 5.60 W, 14 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:36.672, 43, 5.63 W, 11 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:37.183, 43, 5.59 W, 16 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:37.693, 43, 6.61 W, 25 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 21:25:38.204, 45, 19.39 W, 6 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:38.706, 46, 22.50 W, 12 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:39.213, 48, 31.02 W, 16 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:39.722, 48, 32.59 W, 39 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:40.223, 49, 32.45 W, 46 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 21:25:40.723, 48, 32.54 W, 35 %, 2055 MHz, 8001 MHz, 2055 MHz, 0x0000000000000001
2026/05/01 21:25:41.233, 46, 16.92 W, 0 %, 1905 MHz, 8001 MHz, 1905 MHz, 0x0000000000000001
2026/05/01 21:25:41.743, 45, 15.43 W, 0 %, 1440 MHz, 8001 MHz, 1440 MHz, 0x0000000000000001
2026/05/01 21:25:42.253, 56, 73.87 W, 95 %, 2505 MHz, 8001 MHz, 2505 MHz, 0x0000000000000000
2026/05/01 21:25:42.763, 58, 81.32 W, 93 %, 2505 MHz, 8001 MHz, 2505 MHz, 0x0000000000000000
2026/05/01 21:25:43.273, 60, 83.29 W, 92 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:25:43.773, 60, 80.63 W, 91 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:25:44.283, 61, 82.54 W, 92 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:25:44.785, 61, 84.28 W, 95 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:25:45.296, 61, 84.10 W, 97 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 21:25:45.803, 62, 84.46 W, 95 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
