timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:45:45.450, 49, 1.97 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:45:45.963, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:45:46.472, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:45:46.975, 49, 1.95 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:45:47.476, 49, 2.04 W, 0 %, 210 MHz, 405 MHz, 210 MHz, 0x0000000000000001
2026/05/01 20:45:47.978, 51, 19.69 W, 5 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:48.478, 51, 19.59 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:48.986, 51, 20.41 W, 6 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:49.496, 51, 19.57 W, 3 %, 2250 MHz, 7001 MHz, 2250 MHz, 0x0000000000000024
2026/05/01 20:45:49.996, 52, 18.52 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:50.509, 52, 19.86 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:51.010, 52, 21.66 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:51.523, 52, 19.44 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:52.030, 52, 20.26 W, 1 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:52.530, 52, 20.55 W, 2 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:53.036, 52, 20.60 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:53.540, 52, 19.63 W, 0 %, 2250 MHz, 8001 MHz, 2250 MHz, 0x0000000000000001
2026/05/01 20:45:54.051, 51, 9.17 W, 0 %, 495 MHz, 810 MHz, 495 MHz, 0x0000000000000001
2026/05/01 20:45:54.553, 51, 9.04 W, 0 %, 420 MHz, 810 MHz, 420 MHz, 0x0000000000000001
