timestamp, temperature.gpu, power.draw [W], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.current.sm [MHz], clocks_event_reasons.active
2026/05/01 20:26:37.499, 76, 81.13 W, 68 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000004
2026/05/01 20:26:38.015, 76, 80.98 W, 73 %, 2385 MHz, 8001 MHz, 2385 MHz, 0x0000000000000004
2026/05/01 20:26:38.517, 76, 80.80 W, 77 %, 2460 MHz, 8001 MHz, 2460 MHz, 0x0000000000000004
2026/05/01 20:26:39.019, 76, 82.65 W, 75 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:26:39.524, 77, 83.55 W, 78 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:26:40.024, 77, 81.39 W, 83 %, 2340 MHz, 8001 MHz, 2340 MHz, 0x0000000000000004
2026/05/01 20:26:40.525, 77, 81.80 W, 84 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:26:41.033, 77, 81.69 W, 78 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:26:41.537, 77, 81.60 W, 80 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:26:42.037, 77, 79.65 W, 83 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:26:42.547, 77, 81.24 W, 83 %, 2310 MHz, 8001 MHz, 2310 MHz, 0x0000000000000004
2026/05/01 20:26:43.057, 78, 80.19 W, 82 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:26:43.567, 78, 82.81 W, 86 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:26:44.081, 78, 80.96 W, 83 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:26:44.582, 79, 81.60 W, 78 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:26:45.085, 79, 81.74 W, 76 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:26:45.599, 78, 81.97 W, 80 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:26:46.100, 79, 81.82 W, 75 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:26:46.603, 79, 73.50 W, 73 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:26:47.117, 79, 80.34 W, 72 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:26:47.617, 73, 75.25 W, 18 %, 2490 MHz, 8001 MHz, 2490 MHz, 0x0000000000000000
2026/05/01 20:26:48.123, 79, 81.04 W, 73 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:26:48.638, 79, 79.74 W, 81 %, 2415 MHz, 8001 MHz, 2415 MHz, 0x0000000000000004
2026/05/01 20:26:49.147, 79, 77.79 W, 82 %, 2295 MHz, 8001 MHz, 2295 MHz, 0x0000000000000004
2026/05/01 20:26:49.655, 78, 80.21 W, 82 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:26:50.157, 80, 81.53 W, 82 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:26:50.667, 80, 85.28 W, 76 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000004
2026/05/01 20:26:51.177, 81, 106.10 W, 81 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:26:51.679, 81, 87.15 W, 76 %, 2430 MHz, 8001 MHz, 2430 MHz, 0x0000000000000004
2026/05/01 20:26:52.181, 81, 86.21 W, 77 %, 2475 MHz, 8001 MHz, 2475 MHz, 0x0000000000000000
2026/05/01 20:26:52.695, 81, 91.03 W, 78 %, 2445 MHz, 8001 MHz, 2445 MHz, 0x0000000000000004
2026/05/01 20:26:53.206, 82, 83.30 W, 79 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
2026/05/01 20:26:53.720, 81, 85.96 W, 81 %, 2370 MHz, 8001 MHz, 2370 MHz, 0x0000000000000004
2026/05/01 20:26:54.235, 81, 75.89 W, 82 %, 2400 MHz, 8001 MHz, 2400 MHz, 0x0000000000000004
