timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks_event_reasons.active
2026/05/01 15:23:43.083, NVIDIA GeForce RTX 4060 Laptop GPU, 94 %, 15 %, 1786 MiB, 49.67 W, 52, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:43.595, NVIDIA GeForce RTX 4060 Laptop GPU, 92 %, 15 %, 1786 MiB, 49.55 W, 51, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:44.095, NVIDIA GeForce RTX 4060 Laptop GPU, 91 %, 15 %, 1786 MiB, 51.93 W, 52, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:44.605, NVIDIA GeForce RTX 4060 Laptop GPU, 82 %, 13 %, 1786 MiB, 49.01 W, 52, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:45.114, NVIDIA GeForce RTX 4060 Laptop GPU, 94 %, 15 %, 1786 MiB, 49.64 W, 52, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:45.623, NVIDIA GeForce RTX 4060 Laptop GPU, 81 %, 14 %, 1786 MiB, 48.65 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:46.133, NVIDIA GeForce RTX 4060 Laptop GPU, 93 %, 15 %, 1786 MiB, 49.74 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:46.641, NVIDIA GeForce RTX 4060 Laptop GPU, 93 %, 15 %, 1786 MiB, 50.09 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:47.151, NVIDIA GeForce RTX 4060 Laptop GPU, 93 %, 15 %, 1786 MiB, 49.85 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:47.660, NVIDIA GeForce RTX 4060 Laptop GPU, 93 %, 15 %, 1786 MiB, 50.14 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
2026/05/01 15:23:48.169, NVIDIA GeForce RTX 4060 Laptop GPU, 93 %, 14 %, 1786 MiB, 49.71 W, 53, 2505 MHz, 8001 MHz, 0x0000000000000000
